date,open,ceilingPrice,floorPrice,close
2013-08-27,6.4,7.1,5.9,6.5
2013-08-28,6.5,7.1,5.9,6.4
2013-08-29,6.4,7.0,5.8,6.3
2013-08-30,6.3,7.0,5.8,6.4
2013-09-03,6.4,7.0,5.8,6.4
2013-09-04,6.4,7.0,5.8,6.3
2013-09-05,6.2,6.9,5.7,6.5
2013-09-06,6.5,7.1,5.9,6.5
2013-09-09,6.5,7.1,5.9,6.4
2013-09-10,5.8,7.0,5.8,6.4
2013-09-11,6.4,7.0,5.8,6.3
2013-09-12,6.4,6.9,5.7,6.5
2013-09-13,6.4,7.1,5.9,6.5
2013-09-16,6.6,7.1,5.9,6.9
2013-09-17,6.9,7.5,6.3,6.8
2013-09-18,6.8,7.4,6.2,6.6
2013-09-19,6.7,7.2,6.0,6.7
2013-09-20,6.7,7.3,6.1,6.8
2013-09-23,6.6,7.4,6.2,6.7
2013-09-24,6.7,7.3,6.1,6.7
2013-09-25,6.6,7.3,6.1,6.7
2013-09-26,6.7,7.3,6.1,6.7
2013-09-27,6.7,7.3,6.1,6.7
2013-09-30,6.7,7.3,6.1,6.8
2013-10-01,6.8,7.4,6.2,6.8
2013-10-02,6.8,7.4,6.2,6.7
2013-10-03,6.8,7.3,6.1,6.8
2013-10-04,6.8,7.4,6.2,6.8
2013-10-07,6.8,7.4,6.2,6.9
2013-10-08,6.9,7.5,6.3,6.9
2013-10-09,6.9,7.5,6.3,6.8
2013-10-10,6.8,7.4,6.2,6.7
2013-10-11,6.7,7.3,6.1,6.7
2013-10-14,6.7,7.3,6.1,6.7
2013-10-15,6.7,7.3,6.1,6.7
2013-10-16,6.7,7.3,6.1,6.8
2013-10-17,6.8,7.4,6.2,6.9
2013-10-18,6.9,7.5,6.3,6.9
2013-10-21,6.9,7.5,6.3,7.0
2013-10-22,7.0,7.7,6.3,6.9
2013-10-23,7.0,7.5,6.3,7.1
2013-10-24,7.1,7.8,6.4,6.9
2013-10-25,7.0,7.5,6.3,7.0
2013-10-28,7.0,7.7,6.3,6.9
2013-10-29,6.9,7.5,6.3,6.9
2013-10-30,6.9,7.5,6.3,6.9
2013-10-31,7.0,7.5,6.3,6.9
2013-11-01,6.9,7.5,6.3,6.9
2013-11-04,6.9,7.5,6.3,7.0
2013-11-05,7.0,7.7,6.3,6.9
2013-11-06,6.9,7.5,6.3,7.1
2013-11-07,7.0,7.8,6.4,7.1
2013-11-08,7.0,7.8,6.4,7.1
2013-11-11,7.1,7.8,6.4,7.1
2013-11-12,7.1,7.8,6.4,7.0
2013-11-13,7.1,7.7,6.3,7.1
2013-11-14,7.1,7.8,6.4,7.1
2013-11-15,7.1,7.8,6.4,7.1
2013-11-18,7.1,7.8,6.4,7.2
2013-11-19,7.1,7.9,6.5,7.1
2013-11-20,7.1,7.8,6.4,7.1
2013-11-21,7.1,7.8,6.4,7.1
2013-11-22,7.1,7.8,6.4,7.1
2013-11-25,7.2,7.8,6.4,7.1
2013-11-26,7.1,7.8,6.4,7.0
2013-11-27,7.0,7.7,6.3,7.0
2013-11-28,7.0,7.7,6.3,7.0
2013-11-29,7.0,7.7,6.3,7.0
2013-12-02,7.0,7.7,6.3,7.0
2013-12-03,6.9,7.7,6.3,7.1
2013-12-04,7.0,7.8,6.4,7.0
2013-12-05,7.0,7.7,6.3,7.0
2013-12-06,7.0,7.7,6.3,6.9
2013-12-09,7.0,7.5,6.3,7.0
2013-12-10,7.0,7.7,6.3,7.0
2013-12-11,7.0,7.7,6.3,6.9
2013-12-12,6.9,7.5,6.3,6.9
2013-12-13,6.9,7.5,6.3,6.9
2013-12-16,6.9,7.5,6.3,6.8
2013-12-17,6.8,7.4,6.2,6.9
2013-12-18,6.9,7.5,6.3,6.8
2013-12-19,6.9,7.4,6.2,7.0
2013-12-20,7.0,7.7,6.3,6.8
2013-12-23,6.9,7.4,6.2,7.0
2013-12-24,7.0,7.7,6.3,6.9
2013-12-25,6.9,7.5,6.3,6.9
2013-12-26,6.9,7.5,6.3,6.8
2013-12-27,6.8,7.4,6.2,6.9
